is_bug_fix,revisionNo,message
0,461,"Added 40 real world Code 128 images. We decode 9/40 right-side up, and 8/40upside down. A fix will follow shortly to get these numbers up - weovertightened the pattern matching in the first round of false positive changes. Added : /trunk/core/test/data/blackbox/code128-2 Added : /trunk/core/test/data/blackbox/code128-2/01.jpg Added : /trunk/core/test/data/blackbox/code128-2/01.txt Added : /trunk/core/test/data/blackbox/code128-2/02.jpg Added : /trunk/core/test/data/blackbox/code128-2/02.txt Added : /trunk/core/test/data/blackbox/code128-2/03.jpg Added : /trunk/core/test/data/blackbox/code128-2/03.txt Added : /trunk/core/test/data/blackbox/code128-2/04.jpg Added : /trunk/core/test/data/blackbox/code128-2/04.txt Added : /trunk/core/test/data/blackbox/code128-2/05.jpg Added : /trunk/core/test/data/blackbox/code128-2/05.txt Added : /trunk/core/test/data/blackbox/code128-2/06.jpg Added : /trunk/core/test/data/blackbox/code128-2/06.txt Added : /trunk/core/test/data/blackbox/code128-2/07.jpg Added : /trunk/core/test/data/blackbox/code128-2/07.txt Added : /trunk/core/test/data/blackbox/code128-2/08.jpg Added : /trunk/core/test/data/blackbox/code128-2/08.txt Added : /trunk/core/test/data/blackbox/code128-2/09.jpg Added : /trunk/core/test/data/blackbox/code128-2/09.txt Added : /trunk/core/test/data/blackbox/code128-2/10.jpg Added : /trunk/core/test/data/blackbox/code128-2/10.txt Added : /trunk/core/test/data/blackbox/code128-2/11.jpg Added : /trunk/core/test/data/blackbox/code128-2/11.txt Added : /trunk/core/test/data/blackbox/code128-2/12.jpg Added : /trunk/core/test/data/blackbox/code128-2/12.txt Added : /trunk/core/test/data/blackbox/code128-2/13.jpg Added : /trunk/core/test/data/blackbox/code128-2/13.txt Added : /trunk/core/test/data/blackbox/code128-2/14.jpg Added : /trunk/core/test/data/blackbox/code128-2/14.txt Added : /trunk/core/test/data/blackbox/code128-2/15.jpg Added : /trunk/core/test/data/blackbox/code128-2/15.txt Added : /trunk/core/test/data/blackbox/code128-2/16.jpg Added : /trunk/core/test/data/blackbox/code128-2/17.jpg Added : /trunk/core/test/data/blackbox/code128-2/18.jpg Added : /trunk/core/test/data/blackbox/code128-2/19.jpg Added : /trunk/core/test/data/blackbox/code128-2/20.jpg Added : /trunk/core/test/data/blackbox/code128-2/21.jpg Added : /trunk/core/test/data/blackbox/code128-2/22.jpg Added : /trunk/core/test/data/blackbox/code128-2/23.jpg Added : /trunk/core/test/data/blackbox/code128-2/30.txt Added : /trunk/core/test/data/blackbox/code128-2/31.txt Added : /trunk/core/test/data/blackbox/code128-2/32.txt Added : /trunk/core/test/data/blackbox/code128-2/33.txt Added : /trunk/core/test/data/blackbox/code128-2/34.txt Added : /trunk/core/test/data/blackbox/code128-2/35.txt Added : /trunk/core/test/data/blackbox/code128-2/36.txt Added : /trunk/core/test/data/blackbox/code128-2/37.txt Added : /trunk/core/test/data/blackbox/code128-2/38.txt Added : /trunk/core/test/data/blackbox/code128-2/39.txt Added : /trunk/core/test/data/blackbox/code128-2/40.jpg "
0,462,Tuned the Code 128 parameters:Right-side up went from 9/40 to 33/40Upside down went from 8/40 to 34/40and try harder now gets 39/40. Modified : /trunk/core/src/com/google/zxing/oned/Code128Reader.java Modified : /trunk/core/test/src/com/google/zxing/oned/Code128BlackBox2TestCase.java 
0,463,Edited wiki page through web user interface. Modified : /wiki/BarcodeContents.wiki 
0,464,Edited wiki page through web user interface. Modified : /wiki/DeveloperNotes.wiki 
0,465,Edited wiki page through web user interface. Modified : /wiki/DeveloperNotes.wiki 
0,466,"Changed the core build file to run clean before building each time, which isnecessary when switching between debug and optimized versions. Modified : /trunk/core/build.xml "
0,467,Added some degree of support for Character Set ECIs Added : /trunk/core/src/com/google/zxing/qrcode/decoder/CharacterSetECI.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder/ECI.java Added : /trunk/core/test/src/com/google/zxing/qrcode/decoder/ECITestCase.java 
0,468,Added ECI for values 0-2 and also standardize character encoding namesthroughout the code to use the canonical values for java.lang and java.io Modified : /trunk/core/src/com/google/zxing/client/result/optional/NDEFTextParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/NDEFURIParsedResult.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/CharacterSetECI.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java Modified : /trunk/core/test/src/com/google/zxing/common/AbstractBlackBoxTestCase.java 
0,469,"scan archive UI improvements, phase 1 Modified : /trunk/iphone/Classes/AddressBookDoCoMoParsedResult.m Modified : /trunk/iphone/Classes/ArchiveController.h Modified : /trunk/iphone/Classes/ArchiveController.m Modified : /trunk/iphone/Classes/BookmarkDoCoMoParsedResult.m Modified : /trunk/iphone/Classes/DecoderViewController.m Modified : /trunk/iphone/Classes/EmailDoCoMoParsedResult.m Modified : /trunk/iphone/Classes/GeoParsedResult.m Modified : /trunk/iphone/Classes/ParsedResult.h Modified : /trunk/iphone/Classes/ParsedResult.m Modified : /trunk/iphone/Classes/TelParsedResult.m Modified : /trunk/iphone/Classes/TextParsedResult.m Modified : /trunk/iphone/Classes/URIParsedResult.m Modified : /trunk/iphone/Classes/URLTOParsedResult.m Modified : /trunk/iphone/ZXing.xcodeproj/project.pbxproj "
0,470,"scan archive UI improvements, phase 2 Modified : /trunk/iphone/Classes/AddContactAction.m Modified : /trunk/iphone/Classes/ArchiveController.m Modified : /trunk/iphone/Classes/DecoderViewController.m Modified : /trunk/iphone/Classes/OpenUrlAction.m Modified : /trunk/iphone/Classes/ResultAction.h Modified : /trunk/iphone/Classes/ResultAction.m Added : /trunk/iphone/Classes/ScanViewController.h Added : /trunk/iphone/Classes/ScanViewController.m Modified : /trunk/iphone/ZXing.xcodeproj/project.pbxproj "
0,471,"scan archive UI improvements, phase 3 Modified : /trunk/iphone/Classes/ArchiveController.h Modified : /trunk/iphone/Classes/ArchiveController.m Modified : /trunk/iphone/Classes/Decoder.m Modified : /trunk/iphone/Classes/DecoderViewController.m Modified : /trunk/iphone/Classes/OpenUrlAction.m Modified : /trunk/iphone/Classes/ParsedResult.m Modified : /trunk/iphone/Classes/ScanViewController.m Modified : /trunk/iphone/Classes/URIParsedResult.m Modified : /trunk/iphone/Classes/ZXingAppDelegate.m Modified : /trunk/iphone/en.lproj/DecoderView.xib "
0,472,debug printout cleanup Modified : /trunk/cpp/core/src/MonochromeBitmapSource.cpp Modified : /trunk/cpp/core/src/common/BlackPointEstimator.cpp Modified : /trunk/cpp/core/src/common/reedsolomon/ReedSolomonDecoder.cpp Modified : /trunk/cpp/core/src/qrcode/QRCodeReader.cpp Modified : /trunk/cpp/core/src/qrcode/decoder/Version.cpp 
0,473,Initial checkin of bug client code from buglabs Added : /trunk/bug Added : /trunk/bug/build.xml Added : /trunk/bug/lib Added : /trunk/bug/lib/osgi-LICENSE.txt Added : /trunk/bug/lib/osgi.jar Added : /trunk/bug/src Added : /trunk/bug/src/com Added : /trunk/bug/src/com/google Added : /trunk/bug/src/com/google/zxing Added : /trunk/bug/src/com/google/zxing/client Added : /trunk/bug/src/com/google/zxing/client/bug Added : /trunk/bug/src/com/google/zxing/client/bug/AWTImageMonochromeBitmapSource.java Added : /trunk/bug/src/com/google/zxing/client/bug/Activator.java Added : /trunk/bug/src/com/google/zxing/client/bug/ImageCanvas.java Added : /trunk/bug/src/com/google/zxing/client/bug/app Added : /trunk/bug/src/com/google/zxing/client/bug/app/BugBarcodeApp.java Added : /trunk/bug/src/com/google/zxing/client/bug/servicetracker Added : /trunk/bug/src/com/google/zxing/client/bug/servicetracker/BugBarcodeServiceTracker.java 
0,474,"AUTHORS file, build file changes and improvements Modified : /trunk/AUTHORS Modified : /trunk/build.xml "
0,475,"Reworked the false positives unit tests to track each rotation separately, andto allow new tests to be added. I also removed four images which are going tolive in another test. Modified : /trunk/core/build.xml Modified : /trunk/core/test/data/blackbox/falsepositives/06.jpg Modified : /trunk/core/test/data/blackbox/falsepositives/07.jpg Modified : /trunk/core/test/data/blackbox/falsepositives/08.jpg Modified : /trunk/core/test/data/blackbox/falsepositives/13.jpg Deleted : /trunk/core/test/data/blackbox/falsepositives/23.jpg Deleted : /trunk/core/test/data/blackbox/falsepositives/24.jpg Deleted : /trunk/core/test/data/blackbox/falsepositives/25.jpg Deleted : /trunk/core/test/data/blackbox/falsepositives/26.jpg Added : /trunk/core/test/src/com/google/zxing/common/AbstractNegativeBlackBoxTestCase.java Modified : /trunk/core/test/src/com/google/zxing/common/FalsePositivesBlackBoxTestCase.java "
0,476,Added blackbox test of partial barcodes which should not decode. Added : /trunk/core/test/data/blackbox/partial Added : /trunk/core/test/data/blackbox/partial/01.jpg Added : /trunk/core/test/data/blackbox/partial/02.jpg Added : /trunk/core/test/data/blackbox/partial/03.jpg Added : /trunk/core/test/data/blackbox/partial/04.jpg Added : /trunk/core/test/data/blackbox/partial/05.jpg Added : /trunk/core/test/data/blackbox/partial/06.jpg Added : /trunk/core/test/data/blackbox/partial/07.jpg Added : /trunk/core/test/data/blackbox/partial/08.jpg Added : /trunk/core/test/data/blackbox/partial/09.jpg Added : /trunk/core/test/data/blackbox/partial/10.jpg Added : /trunk/core/test/data/blackbox/partial/11.jpg Added : /trunk/core/test/data/blackbox/partial/12.jpg Added : /trunk/core/test/data/blackbox/partial/13.jpg Added : /trunk/core/test/data/blackbox/partial/14.jpg Added : /trunk/core/test/data/blackbox/partial/15.jpg Added : /trunk/core/test/data/blackbox/partial/16.jpg Added : /trunk/core/test/data/blackbox/partial/17.jpg Deleted : /trunk/core/test/src/com/google/zxing/common/FalsePositivesBlackBoxTestCase.java Added : /trunk/core/test/src/com/google/zxing/negative Added : /trunk/core/test/src/com/google/zxing/negative/FalsePositivesBlackBoxTestCase.java Added : /trunk/core/test/src/com/google/zxing/negative/PartialBlackBoxTestCase.java 
0,477,"Added new test of unsupported barcodes, to make sure we don't decode them. Added : /trunk/core/test/data/blackbox/unsupported Added : /trunk/core/test/data/blackbox/unsupported/01.jpg Added : /trunk/core/test/data/blackbox/unsupported/02.jpg Added : /trunk/core/test/data/blackbox/unsupported/03.jpg Added : /trunk/core/test/data/blackbox/unsupported/04.jpg Added : /trunk/core/test/data/blackbox/unsupported/05.jpg Added : /trunk/core/test/data/blackbox/unsupported/06.jpg Added : /trunk/core/test/data/blackbox/unsupported/07.jpg Added : /trunk/core/test/data/blackbox/unsupported/08.jpg Added : /trunk/core/test/data/blackbox/unsupported/09.jpg Added : /trunk/core/test/data/blackbox/unsupported/10.jpg Modified : /trunk/core/test/src/com/google/zxing/negative/PartialBlackBoxTestCase.java Added : /trunk/core/test/src/com/google/zxing/negative/UnsupportedBlackBoxTestCase.java "
0,478,"Refactored ParsedResult classes into ResultParsers &amp; ParsedResults, to allowmultiple different formats to generate the same result type Deleted : /trunk/iphone/Classes/AddressBookAUParsedResult.h Deleted : /trunk/iphone/Classes/AddressBookAUParsedResult.m Deleted : /trunk/iphone/Classes/AddressBookDoCoMoParsedResult.h Deleted : /trunk/iphone/Classes/AddressBookDoCoMoParsedResult.m Modified : /trunk/iphone/Classes/ArchiveController.m Deleted : /trunk/iphone/Classes/BookmarkDoCoMoParsedResult.h Deleted : /trunk/iphone/Classes/BookmarkDoCoMoParsedResult.m Added : /trunk/iphone/Classes/BookmarkDoCoMoResultParser.h Added : /trunk/iphone/Classes/BookmarkDoCoMoResultParser.m Added : /trunk/iphone/Classes/BusinessCardParsedResult.h Added : /trunk/iphone/Classes/BusinessCardParsedResult.m Modified : /trunk/iphone/Classes/Decoder.m Modified : /trunk/iphone/Classes/DecoderDelegate.h Modified : /trunk/iphone/Classes/DecoderViewController.h Deleted : /trunk/iphone/Classes/DoCoMoParsedResult.h Deleted : /trunk/iphone/Classes/DoCoMoParsedResult.m Added : /trunk/iphone/Classes/DoCoMoResultParser.h Added : /trunk/iphone/Classes/DoCoMoResultParser.m Deleted : /trunk/iphone/Classes/EmailDoCoMoParsedResult.h Deleted : /trunk/iphone/Classes/EmailDoCoMoParsedResult.m Added : /trunk/iphone/Classes/EmailDoCoMoResultParser.h Added : /trunk/iphone/Classes/EmailParsedResult.m Modified : /trunk/iphone/Classes/GeoParsedResult.m Added : /trunk/iphone/Classes/GeoResultParser.h Added : /trunk/iphone/Classes/GeoResultParser.m Added : /trunk/iphone/Classes/MeCardParser.h Added : /trunk/iphone/Classes/MeCardParser.m Modified : /trunk/iphone/Classes/OpenUrlAction.m Added : /trunk/iphone/Classes/ResultParser.h Added : /trunk/iphone/Classes/ResultParser.m Modified : /trunk/iphone/Classes/SMSAction.h Modified : /trunk/iphone/Classes/SMSAction.m Added : /trunk/iphone/Classes/SMSParsedResult.h Added : /trunk/iphone/Classes/SMSParsedResult.m Added : /trunk/iphone/Classes/SMSTOResultParser.h Added : /trunk/iphone/Classes/SMSTOResultParser.m Modified : /trunk/iphone/Classes/ScanViewController.m Modified : /trunk/iphone/Classes/TelParsedResult.m Added : /trunk/iphone/Classes/TelResultParser.h Added : /trunk/iphone/Classes/TelResultParser.m Modified : /trunk/iphone/Classes/TextParsedResult.m Added : /trunk/iphone/Classes/TextResultParser.h Added : /trunk/iphone/Classes/TextResultParser.m Modified : /trunk/iphone/Classes/URIParsedResult.h Modified : /trunk/iphone/Classes/URIParsedResult.m Added : /trunk/iphone/Classes/URLResultParser.h Added : /trunk/iphone/Classes/URLResultParser.m Deleted : /trunk/iphone/Classes/URLTOParsedResult.h Modified : /trunk/iphone/Classes/ZXingAppDelegate.m Modified : /trunk/iphone/ZXing.xcodeproj/project.pbxproj "
0,479,added icon png files Added : /trunk/iphone/business-card.png Added : /trunk/iphone/email.png Added : /trunk/iphone/link1.png Added : /trunk/iphone/link2.png Added : /trunk/iphone/map-pin.png Added : /trunk/iphone/phone.png Added : /trunk/iphone/sms.png Added : /trunk/iphone/text.png 
0,480,Remove level=&quot;9&quot; here (oops) and add a dump target for debugging Modified : /trunk/javame/build.xml 
0,481,"Implemented Paul's solution to the basic/regular build problem -- a sort ofpseudo-reflection approach that works in J2ME. Now we have only a build target,not separate products for the basic version. Modified : /trunk/AUTHORS Modified : /trunk/build.xml Modified : /trunk/javame/build.xml Deleted : /trunk/javame/src-basic Modified : /trunk/javame/src/com/google/zxing/client/j2me/AdvancedMultimediaManager.java Added : /trunk/javame/src/com/google/zxing/client/j2me/DefaultMultimediaManager.java Added : /trunk/javame/src/com/google/zxing/client/j2me/MultimediaManager.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/SnapshotThread.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java "
0,482,"Big refactoring of ParsedResult: now split into ResultParser and ParsedResultclasses, per Christian's suggestion. This unifies the parsed results that areproduced from various input, simplifying client handling of different types. Modified : /trunk/android/src/com/google/zxing/client/android/AndroidIntentParsedResult.java Modified : /trunk/android/src/com/google/zxing/client/android/BarcodeReaderCaptureActivity.java Modified : /trunk/android/src/com/google/zxing/client/android/ResultHandler.java Added : /trunk/core/src/com/google/zxing/client/result/AbstractDoCoMoResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/AddressBookAUParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/AddressBookAUResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/AddressBookDoCoMoParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/AddressBookParsedResult.java Deleted : /trunk/core/src/com/google/zxing/client/result/BookmarkDoCoMoParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/BookmarkDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/EmailAddressParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/EmailAddressResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/EmailDoCoMoParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/EmailDoCoMoResultParser.java Added : /trunk/core/src/com/google/zxing/client/result/GeoResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/ParsedReaderResult.java Added : /trunk/core/src/com/google/zxing/client/result/ParsedResultType.java Added : /trunk/core/src/com/google/zxing/client/result/ResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/SMSParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/SMSResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/SMSTOParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/TelParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/TelResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/UPCParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/UPCResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/URIParsedResult.java Deleted : /trunk/core/src/com/google/zxing/client/result/URLTOParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/URLTOResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/AbstractMobileTagParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/optional/AbstractMobileTagResultParser.java Added : /trunk/core/src/com/google/zxing/client/result/optional/AbstractNDEFResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagMMSParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagRichWebParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagRichWebResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSMSParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSMSResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleCalendarParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleCalendarResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleContactParsedResult.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleWebParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleWebResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagTelParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagTelResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/NDEFRecord.java Added : /trunk/core/src/com/google/zxing/client/result/optional/NDEFSmartPosterResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/NDEFTextParsedResult.java Deleted : /trunk/core/src/com/google/zxing/client/result/optional/NDEFURIParsedResult.java Added : /trunk/core/src/com/google/zxing/client/result/optional/NDEFURIResultParser.java Modified : /trunk/core/test/src/com/google/zxing/client/result/ParsedReaderResultTestCase.java Modified : /trunk/zxingorg/src/com/google/zxing/web/DecodeServlet.java "
0,483,Minor change to standardize on more canonical &quot;UTF8&quot; name for encoding in Java Modified : /trunk/zxingorg/src/com/google/zxing/web/DecodeServlet.java 
0,484,Take advantage of new parsed result fields in Android client Modified : /trunk/android/src/com/google/zxing/client/android/ResultHandler.java 
0,485,Switch to integer math in a critical QR Code detector method for speed and tweaka few things before I start investigating this method and the infamous &quot;270issue&quot; Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java 
0,486,And fixed the &quot;270&quot; issue: logic error in computing the &quot;skip&quot; allowed afterfinding two finder patterns when the QR Code was inverted. Modified : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java Modified : /trunk/core/test/src/com/google/zxing/qrcode/QRCodeBlackBox1TestCase.java Modified : /trunk/core/test/src/com/google/zxing/qrcode/QRCodeBlackBox2TestCase.java 
0,487,More refactoring of parsed results / result parsers; added basic vCard support Modified : /trunk/android/src/com/google/zxing/client/android/BarcodeReaderCaptureActivity.java Deleted : /trunk/core/src/com/google/zxing/client/result/AbstractDoCoMoParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/AbstractDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/AddressBookAUResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/AddressBookParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/CalendarParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/EmailAddressParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/ResultParser.java Added : /trunk/core/src/com/google/zxing/client/result/VCardResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleContactResultParser.java Modified : /trunk/core/test/src/com/google/zxing/client/result/ParsedReaderResultTestCase.java Modified : /trunk/javame/src/com/google/zxing/client/j2me/ZXingMIDlet.java Modified : /trunk/zxingorg/src/com/google/zxing/web/DecodeServlet.java 
0,488,"Added mms:, mmsto: support and tests, plus basic tests for vCard format Modified : /trunk/core/src/com/google/zxing/client/result/ResultParser.java Added : /trunk/core/src/com/google/zxing/client/result/SMSMMSResultParser.java Deleted : /trunk/core/src/com/google/zxing/client/result/SMSTOResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/VCardResultParser.java Modified : /trunk/core/test/src/com/google/zxing/client/result/ParsedReaderResultTestCase.java "
0,489,Add minimal support for FNC1 mode in QR Code Deleted : /trunk/core/src/com/google/zxing/client/result/SMSResultParser.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java Modified : /trunk/core/src/com/google/zxing/qrcode/decoder/Mode.java 
0,490,"Standardize getDisplayResult() implementation in parsed results, and fix up website download page to show one J2ME download Modified : /trunk/core/src/com/google/zxing/client/result/CalendarParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/EmailAddressParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/SMSParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/TelParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/URIParsedResult.java Modified : /trunk/zxingorg/web/index.jspx "
0,491,Better bytes-to-String method for verbose output Modified : /trunk/zxingorg/src/com/google/zxing/web/DecodeServlet.java 
0,492,"Oops, make sure to XML-escape results Modified : /trunk/zxingorg/src/com/google/zxing/web/DecodeServlet.java Added : /trunk/zxingorg/web/WEB-INF/lib/commons-lang-2.4.jar Added : /trunk/zxingorg/web/WEB-INF/lib/commons-lang-LICENSE.txt Modified : /trunk/zxingorg/web/decoderesult.jspx "
0,493,Now we can support BDAY in DoCoMo MECARD format Modified : /trunk/core/src/com/google/zxing/client/result/AddressBookDoCoMoResultParser.java 
0,494,Add BIZCARD support and a little refactoring Modified : /trunk/core/src/com/google/zxing/client/result/AbstractDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/AddressBookDoCoMoResultParser.java Added : /trunk/core/src/com/google/zxing/client/result/BizcardResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/ResultParser.java 
0,495,UI improvements Modified : /trunk/iphone/Classes/AddContactAction.m Modified : /trunk/iphone/Classes/ArchiveController.m Modified : /trunk/iphone/Classes/Decoder.m Modified : /trunk/iphone/Classes/DecoderViewController.h Modified : /trunk/iphone/Classes/DecoderViewController.m Modified : /trunk/iphone/Classes/SMSAction.m Added : /trunk/iphone/Classes/ScanCell.h Added : /trunk/iphone/Classes/ScanCell.m Modified : /trunk/iphone/Classes/ScanViewController.h Modified : /trunk/iphone/Classes/ScanViewController.m Added : /trunk/iphone/Classes/ScannedImageView.h Added : /trunk/iphone/Classes/ScannedImageView.m Modified : /trunk/iphone/Classes/ZXingAppDelegate.m Deleted : /trunk/iphone/Settings.bundle Modified : /trunk/iphone/ZXing.xcodeproj/project.pbxproj Modified : /trunk/iphone/de.lproj/DecoderView.xib Modified : /trunk/iphone/en.lproj/DecoderView.xib Modified : /trunk/iphone/sv.lproj/DecoderView.xib 
0,496,Added 'Build All' and 'Test All' targets for Pulse build Modified : /trunk/iphone/ZXing.xcodeproj/project.pbxproj 
0,497,Edited wiki page through web user interface. Modified : /wiki/BarcodeContents.wiki 
0,498,Don't add a newline at the front of a ParsedResult. Modified : /trunk/core/src/com/google/zxing/client/result/ParsedResult.java 
0,499,Added another phone type field to BIZCARD implementation Modified : /trunk/core/src/com/google/zxing/client/result/BizcardResultParser.java 
0,500,Try looking up multimedia controls under alternate names to potentially improveinteroperability Modified : /trunk/javame/src/com/google/zxing/client/j2me/AdvancedMultimediaManager.java 
0,501,Rename some methods so that they're not technically overloading one another --maybe slightly better style-wise in Java but reduces complication in port to C++ Modified : /trunk/core/src/com/google/zxing/client/result/AbstractDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/AddressBookDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/BizcardResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/BookmarkDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/EmailDoCoMoResultParser.java 
0,502,"Add iCal support, plus many small changes suggested by code inspection -- mostlymaking things less visible for now Modified : /trunk/core/src/com/google/zxing/client/result/AddressBookAUResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/AddressBookDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/BizcardResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/BookmarkDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/CalendarParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/EmailAddressResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/EmailDoCoMoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/GeoResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/ParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/ResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/SMSMMSResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/TelResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/UPCResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/URIResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/URLTOResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/VCardResultParser.java Added : /trunk/core/src/com/google/zxing/client/result/VEventResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagMMSResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagRichWebResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSMSResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleCalendarResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleContactResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagSimpleWebResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/MobileTagTelResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/NDEFSmartPosterParsedResult.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/NDEFSmartPosterResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/NDEFTextResultParser.java Modified : /trunk/core/src/com/google/zxing/client/result/optional/NDEFURIResultParser.java Modified : /trunk/core/src/com/google/zxing/common/GridSampler.java Modified : /trunk/core/src/com/google/zxing/datamatrix/decoder/DataBlock.java Modified : /trunk/core/src/com/google/zxing/datamatrix/decoder/DecodedBitStreamParser.java Modified : /trunk/core/src/com/google/zxing/oned/AbstractOneDReader.java Modified : /trunk/core/test/src/com/google/zxing/client/result/ParsedReaderResultTestCase.java "
0,503,Minor style tweaks Modified : /trunk/android/src/com/google/zxing/client/android/CameraManager.java Modified : /trunk/android/src/com/google/zxing/client/android/DecodeThread.java Modified : /trunk/bug/src/com/google/zxing/client/bug/app/BugBarcodeApp.java Modified : /trunk/core/src/com/google/zxing/common/GridSampler.java Modified : /trunk/core/src/com/google/zxing/oned/AbstractUPCEANReader.java Modified : /trunk/zxingorg/src/com/google/zxing/web/DecodeEmailTask.java 
